,X,Y,Code,Dep
33,0,100,MUD,-2
34,0,100,MUD,-3
35,0,100,MUD,-4
36,0,100,MUD,-5
37,0,100,MUD,-6
38,0,100,MUD,-7
39,0,100,MUD,-8
40,0,100,MUD,-9
41,0,100,CLAY,-10
42,0,100,CLAY,-11
43,0,100,CLAY,-12
44,0,100,CLAY,-13
45,0,100,CLAY,-14
46,0,100,CLAY,-15
47,0,100,CLAY,-16
48,0,100,SAND,-17
49,0,100,SAND,-18
50,0,100,SAND,-19
51,0,100,SAND,-20
52,0,100,SAND,-20
53,0,100,SAND,-21
54,0,100,CLAY,-22
55,0,100,CLAY,-23
56,0,100,CLAY,-24
57,0,100,CLAY,-25
58,0,100,CLAY,-26
59,0,100,CLAY,-27
60,0,100,CDG,-28
61,0,100,CDG,-29
62,0,100,CDG,-30
63,0,100,CDG,-31
64,0,100,CDG,-32
65,0,100,CDG,-33
66,0,100,CDG,-34
67,0,100,CDG,-35
68,0,100,CDG,-36
69,0,100,CDG,-37
70,0,100,CDG,-38
71,0,100,CDG,-38
72,0,100,CDG,-39
76,0,0,MUD,-3
77,0,0,MUD,-4
78,0,0,MUD,-5
79,0,0,MUD,-6
80,0,0,MUD,-7
81,0,0,MUD,-8
82,0,0,MUD,-9
83,0,0,CLAY,-10
84,0,0,CLAY,-11
85,0,0,CLAY,-12
86,0,0,SAND,-13
87,0,0,SAND,-14
88,0,0,CLAY,-15
89,0,0,CLAY,-16
90,0,0,CLAY,-17
91,0,0,CLAY,-18
92,0,0,CLAY,-19
93,0,0,CLAY,-20
94,0,0,CLAY,-21
95,0,0,CLAY,-22
96,0,0,CLAY,-23
97,0,0,SAND,-24
98,0,0,SAND,-25
99,0,0,CLAY,-26
100,0,0,CLAY,-27
101,0,0,CDG,-28
102,0,0,CDG,-28
103,0,0,CDG,-29
104,0,0,CDG,-30
105,0,0,CDG,-31
106,0,0,CDG,-32
107,0,0,CDG,-33
108,0,0,CDG,-34
109,0,0,CDG,-35
110,0,0,GRANITE,-36
111,0,0,GRANITE,-37
112,0,0,GRANITE,-38
113,0,0,GRANITE,-39
118,100,100,MUD,-3
119,100,100,MUD,-4
120,100,100,MUD,-5
121,100,100,MUD,-6
122,100,100,MUD,-7
123,100,100,MUD,-8
124,100,100,CLAY,-9
125,100,100,CLAY,-10
126,100,100,CLAY,-11
127,100,100,CLAY,-12
128,100,100,CLAY,-13
129,100,100,CLAY,-13
130,100,100,CLAY,-14
131,100,100,CLAY,-15
132,100,100,CLAY,-16
133,100,100,CLAY,-17
134,100,100,CLAY,-18
135,100,100,SAND,-19
136,100,100,SAND,-20
137,100,100,SAND,-21
138,100,100,SAND,-22
139,100,100,SAND,-23
140,100,100,SAND,-24
141,100,100,SAND,-25
142,100,100,SAND,-26
143,100,100,CDG,-27
144,100,100,CDG,-28
145,100,100,CDG,-29
146,100,100,CDG,-30
147,100,100,CDG,-31
148,100,100,CDG,-32
149,100,100,CDG,-33
150,100,100,CDG,-34
151,100,100,CDG,-35
