,X,Y,Dep,Code
0,0,0,0,N
1,0,1,0,N
2,0,2,0,N
3,0,3,0,N
4,0,4,0,N
5,0,5,0,N
6,0,6,0,N
7,0,7,0,N
8,0,8,0,N
9,0,9,0,N
10,0,10,0,N
11,0,11,0,N
12,0,12,0,N
13,0,13,0,N
14,0,14,0,N
15,0,15,0,N
16,0,16,0,N
17,0,17,0,N
18,0,18,0,N
19,0,19,0,N
20,0,20,0,N
21,0,21,0,N
22,0,22,0,N
23,0,23,0,N
24,0,24,0,N
25,0,25,0,N
26,0,26,0,N
27,0,27,0,N
28,0,28,0,N
29,0,29,0,N
30,1,0,0,N
31,1,1,0,N
32,1,2,0,N
33,1,3,0,N
34,1,4,0,N
35,1,5,0,N
36,1,6,0,N
37,1,7,0,N
38,1,8,0,N
39,1,9,0,N
40,1,10,0,N
41,1,11,0,N
42,1,12,0,N
43,1,13,0,N
44,1,14,0,N
45,1,15,0,N
46,1,16,0,N
47,1,17,0,N
48,1,18,0,N
49,1,19,0,N
50,1,20,0,N
51,1,21,0,N
52,1,22,0,N
53,1,23,0,N
54,1,24,0,N
55,1,25,0,N
56,1,26,0,N
57,1,27,0,N
58,1,28,0,N
59,1,29,0,N
60,2,0,0,N
61,2,1,0,N
62,2,2,0,N
63,2,3,0,N
64,2,4,0,N
65,2,5,0,N
66,2,6,0,N
67,2,7,0,N
68,2,8,0,N
69,2,9,0,N
70,2,10,0,N
71,2,11,0,N
72,2,12,0,N
73,2,13,0,N
74,2,14,0,N
75,2,15,0,N
76,2,16,0,N
77,2,17,0,N
78,2,18,0,N
79,2,19,0,N
80,2,20,0,N
81,2,21,0,N
82,2,22,0,N
83,2,23,0,N
84,2,24,0,N
85,2,25,0,N
86,2,26,0,N
87,2,27,0,N
88,2,28,0,N
89,2,29,0,N
90,3,0,0,N
91,3,1,0,N
92,3,2,0,N
93,3,3,0,N
94,3,4,0,N
95,3,5,0,N
96,3,6,0,N
97,3,7,0,N
98,3,8,0,N
99,3,9,0,N
100,3,10,0,N
101,3,11,0,N
102,3,12,0,N
103,3,13,0,N
104,3,14,0,N
105,3,15,0,N
106,3,16,0,N
107,3,17,0,N
108,3,18,0,N
109,3,19,0,N
110,3,20,0,N
111,3,21,0,N
112,3,22,0,N
113,3,23,0,N
114,3,24,0,N
115,3,25,0,N
116,3,26,0,N
117,3,27,0,N
118,3,28,0,N
119,3,29,0,N
120,4,0,0,N
121,4,1,0,N
122,4,2,0,N
123,4,3,0,N
124,4,4,0,M
125,4,5,0,N
126,4,6,0,N
127,4,7,0,N
128,4,8,0,N
129,4,9,0,N
130,4,10,0,N
131,4,11,0,N
132,4,12,0,N
133,4,13,0,N
134,4,14,0,N
135,4,15,0,N
136,4,16,0,N
137,4,17,0,N
138,4,18,0,N
139,4,19,0,N
140,4,20,0,N
141,4,21,0,N
142,4,22,0,N
143,4,23,0,N
144,4,24,0,N
145,4,25,0,N
146,4,26,0,M
147,4,27,0,N
148,4,28,0,N
149,4,29,0,N
150,5,0,0,N
151,5,1,0,N
152,5,2,0,N
153,5,3,0,N
154,5,4,0,N
155,5,5,0,N
156,5,6,0,N
157,5,7,0,N
158,5,8,0,N
159,5,9,0,N
160,5,10,0,N
161,5,11,0,N
162,5,12,0,N
163,5,13,0,N
164,5,14,0,N
165,5,15,0,N
166,5,16,0,N
167,5,17,0,N
